,Product,Price,Rating
362,"realme Narzo 30A (Laser Black, 32 GB)","Rs.₹7,999",2.8
363,"I Kall K400 (Blue, 64 GB)","Rs.₹6,299",4.3
364,"realme Narzo 30A (Laser Blue, 32 GB)","Rs.₹7,999",4.4
365,"realme Narzo 30A (Laser Black, 64 GB)","Rs.₹8,999",4.4
366,"realme C20 (Cool Blue, 32 GB)","Rs.₹6,799",3
367,"I Kall K475 (Cyan, 64 GB)","Rs.₹6,999",4.4
368,"realme C20 (Cool Grey, 32 GB)","Rs.₹6,799",4.4
369,"Infinix Hot 10 Play (Morandi Green, 64 GB)","Rs.₹8,499",4.4
370,"POCO M3 (Power Black, 64 GB)","Rs.₹10,499",2.8
371,"I Kall K8 (Black Green, 16 GB)","Rs.₹4,299",4.1
